dataset,reduction,reduction_method,n_components,kernel,train_acc,test_acc,train_err,test_err,svc_train_time,reduction_time,total_train_time,C,gamma,degree
MNIST,PCA-100,PCA,100,poly,0.9999,0.9678,0.0001,0.0322,16.32,0.48,16.81,10.0,0.005,4.0
MNIST,PCA-100,PCA,100,poly,0.9883,0.975,0.0117,0.025,912.32,0.48,912.8,10.0,0.001,2.0
MNIST,PCA-100,PCA,100,poly,0.9824,0.9684,0.0176,0.0316,22.55,0.48,23.03,10.0,0.001,3.0
MNIST,PCA-100,PCA,100,poly,0.9334,0.9206,0.0666,0.0794,71.21,0.48,71.7,10.0,0.001,4.0
MNIST,PCA-200,PCA,200,poly,0.9528,0.9483,0.0472,0.0517,1279.63,0.51,1280.14,0.1,scale,2.0
MNIST,PCA-200,PCA,200,poly,0.9032,0.8991,0.0968,0.1009,431.99,0.51,432.5,0.1,scale,3.0
MNIST,PCA-200,PCA,200,poly,0.7356,0.7268,0.2644,0.2732,297.22,0.51,297.73,0.1,scale,4.0
MNIST,PCA-200,PCA,200,poly,0.9927,0.9776,0.0073,0.0224,30.09,0.51,30.6,0.1,0.01,2.0
MNIST,PCA-200,PCA,200,poly,0.9984,0.9779,0.0016,0.0221,36.67,0.51,37.18,0.1,0.01,3.0
MNIST,PCA-200,PCA,200,poly,0.9996,0.9702,0.0004,0.0298,51.74,0.51,52.25,0.1,0.01,4.0
MNIST,PCA-200,PCA,200,poly,0.9839,0.9726,0.0161,0.0274,45.02,0.51,45.53,0.1,0.005,2.0
MNIST,PCA-200,PCA,200,poly,0.9899,0.9719,0.0101,0.0281,52.07,0.51,52.58,0.1,0.005,3.0
MNIST,PCA-200,PCA,200,poly,0.9896,0.9619,0.0104,0.0381,70.41,0.51,70.92,0.1,0.005,4.0
MNIST,PCA-200,PCA,200,poly,0.9239,0.9227,0.0761,0.0773,184.29,0.51,184.8,0.1,0.001,2.0
MNIST,PCA-200,PCA,200,poly,0.7488,0.7444,0.2512,0.2556,326.78,0.51,327.29,0.1,0.001,3.0
